id,name
MERCED_ENGL -06A,MERCED_Major English Writers to the Late 18th Century (3.00)
MVC_ART 48A,MVC_Studio Drawing Portfolio Preparation (3.00)
SFCITY_CHIN 3,SFCITY_Intermediate Chinese (5.00)
SANTIAGO_ART 102,SANTIAGO_Survey of Western Art History II: Renaissance Through the Twentieth Century (3.00)
CRAFTON_CSCI 230,CRAFTON_Data Structures and Algorithms (Java) (3.00) Articulation subject to completion of a university course
PASADENA_PHYS 002B,PASADENA_General Physics II: Electromagnetism. Optics. and Modern Physics (4.00)
PASADENA_ASL 015,PASADENA_INTRODUCTION TO DEAF CULTURE (3.00)
AHC_ITAL 101,AHC_Elementary Italian (5.00)
SRC_ART 27B,SRC_Intermediate Silkscreen Print Making (1.50 - 3.00)
GMCC_HIST 126,GMCC_History of Mexico (3.00)
IRVINE_ECON 2,IRVINE_Principles of Economics - Macro (3.00) Regular and honors courses may be combined to complete this series
VENTURA_MUS V02AL,VENTURA_Ear Training I (1.00)
REDWOODS_ANTH 1B,REDWOODS_Introduction to Biological Anthropology Lab (1.00)
POSITAS_MATH 34,POSITAS_Business Calculus (4.00)
IRVINE_PHYS 4B,IRVINE_General Physics (4.00)
CUYAMACA_ASL 121,CUYAMACA_American Sign Language II (4.00)
TAFT_HIST 2216,TAFT_History of Latin America (3.00)
UCSC_EDUC 50B,UCSC_CAL Teach 1: Mathematics (2.00)
CERRITOS_TH 105,CERRITOS_Introduction to Musical Theatre Techniques (3.00)
FOLSOM_HIST 344,FOLSOM_Survey of California History: A Multicultural Perspective (3.00)
LAEC_GEOG 015,LAEC_Physical Geography Laboratory (2.00)
WHC_ART 015B,WHC_Intermediate Painting (3.00)
MTSJC_THA- 122,MTSJC_Stage Makeup (3.00)
CANYONS_THEATR 110H,CANYONS_Understanding Theatre Honors (3.00)
EVERGRN_COMSC 020,EVERGRN_Introduction to Programming Concepts and Methodologies (3.00)
SJCC_ENGL 080,SJCC_Mexican-American Literature (3.00)
SDCC_ENGL 234,SDCC_Hip Hop Literature: A Poetry Class (3.00)
SFCITY_PSYC 40,SFCITY_Child and Adolescent Psychology (3.00)
DAC_MATH 1A,DAC_Calculus (5.00)
NAPA_ARTS 240,NAPA_Intermediate Ceramics: Handbuilding (3.00)
UCD_GEL 002G,UCD_Earth System Science Discussion (1.00)
SJDELTA_DRAMA 1A,SJDELTA_Actor's Studio I (4.00)
POSITAS_BIO 60,POSITAS_Marine Biology (4.00)
NORCO_HUM 4,NORCO_Arts and Ideas: Ancient World through the Late Medieval Period (3.00)
SOLANO_BIO 004,SOLANO_Human Anatomy (5.00)
SHASTA_BIOL 10L,SHASTA_General Biology Laboratory (1.00)
IRVINE_CHI 2,IRVINE_Beginning Chinese II (5.00)
CHABOT_PHIL 60,CHABOT_Ethics (3.00)
PALOMAR_MUS 105,PALOMAR_Music Theory I (3.00)
MONTEREY_DANC 14B,MONTEREY_Ballroom Dance II (0.50 - 1.00)
SOLANO_PSYC 007,SOLANO_Cross-Cultural Psychology (3.00)
MESA_HIST 115A,MESA_History of the Americas I (3.00)
SDCC_CHEM 130L,SDCC_Introduction to Organic and Biological Chemistry Laboratory (1.00)
CERRITOS_PHIL 100,CERRITOS_Introduction to Philosophy (3.00)
RSC_ART 252,RSC_Ceramics - Advanced Study Process in Ceramics with Non- traditional Media (3.00)
COASTLIN_ART C101,COASTLIN_Survey of Art: Renaissance to Contemporary (3.00)
MESA_HUMA 103,MESA_Introduction to the New Testament (3.00)
PALOMAR_ART 220,PALOMAR_Introduction to Painting (3.00)
MCC_ENGR 5,MCC_Programming and Problem Solving in MATLAB (3.00)
